Торгівельне найменування,Міжнародне непатентоване найменування,Склад (діючі),Код АТС,Заявник: назва українською,Заявник: країна,Заявник: адреса,Виробник: назва українською,Виробник: країна,Виробник: адреса,Номер Реєстраційного посвідчення,Термін придатності: значення,Термін придатності: одиниця вимірювання,Допоміжні речовини,Діючі речовини,Посилання на медикамент
"5-ФТОРУРАЦИЛ ""ЕБЕВЕ""",Cefdinir,1 капсула містить: цефдінір у перерахунку на суху речовину - 300 мг,L01B C02,"ТОВ ""АРТЕРІУМ ЛТД""",Україна,"Україна, 01032, м. Київ, вул. Саксаганського, 139",ФармаВіжн Санаі ве Тікарет А.С.,Туреччина,"Давутпаса Кад. № 145 Топкапі/Стамбул, Туреччина",UA/17824/01/01,2,рік,"натрію гідроксид, вода для ін'єкцій.,  натрію гідроксид, вода для ін'єкцій.,  натрію гідроксид, вода для ін'єкцій.,  натрію гідроксид, вода для ін'єкцій.,  натрію гідроксид, вода для ін'єкцій",Флуороурацил,
5-ФУ,Cefdinir,1 капсула містить: цефдінір у перерахунку на суху речовину - 300 мг,J01DD15,"ТОВ ""АРТЕРІУМ ЛТД""",Україна,"Україна, 01032, м. Київ, вул. Саксаганського, 139","ПАТ ""Київмедпрепарат"" (пакування з in bulk фірми-виробника ФармаВіжн Санаі ве Тікарет А.С., Туреччина)",Україна,"Україна, 01032, м. Київ, вул. Саксаганського, 139",UA/17823/01/01,2,рік,"розчин натрію гідроксиду 20%, вода для ін’єкцій",Флуороурацил,
L-ЛІЗИНУ ЕСЦИНАТ®,Alanine*,"L- аланіну не менше 98,5 % і не більше 101,0% (в перерахунку на суху речовину)",C05C X08**,АМІНО ГмбХ,Німеччина,"Ан дер Цукер-Раффінері, 9, 38373, Фрельштедт, Німеччина",АМІНО ГмбХ,Німеччина,"Ан дер Цукер-Раффінері, 9, 38373, Фрельштедт, Німеччина",UA/16454/01/01,4,рік,"етанол 96%, пропіленгліколь, вода для ін'єкцій",L-лизина эсцинат,
L-ТИРОКСИН-ФАРМАК®,Histidine*,"L-гістидину не менше 98,5 % і не більше 101,0% (в перерахунку на суху речовину)",H03A A01,АМІНО ГмбХ,Німеччина,"Ан дер Цукер-Раффінері, 9, 38373, Фрельштедт, Німеччина",АМІНО ГмбХ,Німеччина,"Ан дер Цукер-Раффінері, 9, 38373, Фрельштедт, Німеччина",UA/16456/01/01,3,рік,"лактоза, крохмаль картопляний, цукрова пудра, магнію карбонат основний, магнію стеарат, повідон низькомолекулярний медичний",Левотироксин натрій,
L-ТИРОКСИН 100 БЕРЛІН-ХЕМІ,Histidine*,"L-гістидину не менше 98,5 % і не більше 101,0 %, у перерахунку на суху речовину",H03A A01,"ПрАТ ""Фармацевтична фірма ""ФарКоС""",Україна,"Україна, 03162, м. Київ, вул. Зодчих, 50-А","Кіова Хакко Біо Ко., Лтд",Японія,"1-6-1, Охтемачі, Чійода-ку, Токіо, 100-8185, Японія",UA/4907/01/01,3,рік,,Левотироксин натрій,
L-ТИРОКСИН 125 БЕРЛІН-ХЕМІ,Histidine*,"L-гістидину не менше 98,5 % і не більше 101,0 %, у перерахунку на суху речовину",H03A A01,"ПрАТ ""Фармацевтична фірма ""ФарКоС""",Україна,"Україна, 03162, м. Київ, вул. Зодчих, 50-А","Кіова Хакко Біо Ко., Лтд",Японія,"1-6-1, Охтемачі, Чійода-ку, Токіо, 100-8185, Японія",UA/4907/01/01,3,рік,,Левотироксин натрій,
L-ТИРОКСИН 150 БЕРЛІН-ХЕМІ,Histidine*,"L-Гістидину Моногідрохлориду Моногідрату від 99,0 % до 101,0 %",H03A A01,"ТОВ ""Мультіфарма""",Україна,"Україна, 04123, м. Київ, вул. Світлицького, 35","Кіова Хакко Біо Ко., Лтд.",Японія,"Головний офіс: 1-6-1, Охтемачи, Чійода-ку, Токіо, 100-8185, Японiя",UA/10699/01/01,4,рік,,Левотироксин натрій,
L-ТИРОКСИН 50 БЕРЛІН-ХЕМІ,Glutamic acid*,"глутамінової кислоти не менше 98,5 % і не більше 100,5 %, в перерахунку на суху речовину//",H03A A01,"ПрАТ ""Фармацевтична фірма ""Дарниця""",Україна,"Україна, 02093, м. Київ, вул. Бориспільська, 13","КІЙОВА ХАККО БІО КО., ЛТД.",Японія,"юридична адреса: 1-6-1, Охтемачі, Чійода-ку, Токіо, 100-8185, Японія;",UA/14057/01/01,3,рік,,Левотироксин натрій,
L-ТИРОКСИН 75 БЕРЛІН-ХЕМІ,Glutamic acid*,"L-глутамінової кислоти не менше 99,0 % і не більше 100,5 % у перерахуванні на суху речовину",H03A A01,"АТ ""КИЇВСЬКИЙ ВІТАМІННИЙ ЗАВОД""",Україна,"Україна, 04073, м. Київ, вул. Копилівська, 38","""Усі Цзінхай Аміно Ейсід Ко., Лтд.""",Китай,"Дунган Таун, Сішань Дістрікт, Усі, Цзянсу, Китай",UA/12026/01/01,4,рік,,Левотироксин натрій,
L-ЦЕТ®,Levoleucine*,"(S)-2-аміно-4-метилпентанової кислоти не менше 99,0 % та не більше 101,0 % у перерахунку на суху речовину",R06A E09,"ПрАТ ""Мультіфарма""",Україна,"Україна, 04123, м. Київ, вул. Світлицького, 35","Кіова Хакко Біо Ко., Лтд",Японія,"головний офіс: 1-6-1, Охтемачи, Чійода-ку, Токіо, 100-8185, Японія;",UA/12028/01/01,4,рік,,Левоцетиризину дигідрохлорид,
